Atomic #,Symbol,Period,Element name,Atomic Mass (IUPAC 2001),Melting Point (?C),Boiling Point (?C),Density (g/cm3)
1,H,1,hydrogen,1.00794,-259.1,-252.9,0.0000699
2,He,1,helium,4.002602,-272.2,-268.9,0.000179
3,Li,2,lithium,6.941,180.5,1342,0.543
4,Be,2,beryllium,9.012182,1278,2970,1.85
5,B,2,boron,10.811,2079,2550,2.34
6,C,2,carbon,12.0107,3367,4827,2.25
7,N,2,nitrogen,14.0067,-209.9,-195.8,0.00125
8,O,2,oxygen,15.9994,-218.4,-183,0.00143
9,F,2,fluorine,18.9984032,-219.8,-188.1,0.0017
10,Ne,2,neon,20.1797,-248,-248.7,0.0009
11,Na,3,sodium,22.98977,97.8,883,0.971
12,Mg,3,magnesium,24.305,649,1090,1.74
13,Al,3,aluminum,26.981538,660,2467,2.7
14,Si,3,silicon,28.0855,1410,2355,2.33
15,P,3,phosphorus,30.973761,44.1,280,1.82
16,S,3,sulfur,32.065,112.8,444.7,2.07
17,Cl,3,chlorine,35.453,-101,-34.6,0.00321
18,Ar,3,argon,39.948,-189.2,-185.7,0.00178
19,K,4,potassium,39.0983,63.25,760,0.86
20,Ca,4,calcium,40.078,839,1484,1.55
21,Sc,4,scandium,44.95591,1541,2832,2.99
22,Ti,4,titanium,47.867,1660,3287,4.54
23,V,4,vanadium,50.9415,1890,3380,6.11
24,Cr,4,chromium,51.9961,1857,2672,7.19
25,Mn,4,manganese,54.938049,1244,1962,7.43
26,Fe,4,iron,55.845,1535,2750,7.86
27,Co,4,cobalt,58.9332,1495,2870,8.9
28,Ni,4,nickel,58.6934,1453,2730,8.9
29,Cu,4,copper,63.546,1083,2567,8.96
30,Zn,4,zinc,65.409,419.6,906,7.13
31,Ga,4,gallium,69.723,29.8,2403,5.9
32,Ge,4,germanium,72.64,947.4,2830,5.32
33,As,4,arsenic,74.9216,817,617,5.73
34,Se,4,selenium,78.96,217,685,4.79
35,Br,4,bromine,79.904,-7.2,58.8,3.12
36,Kr,4,krypton,83.798,-157,-152,0.00374
37,Rb,5,rubidium,85.4678,38.9,686,1.53
38,Sr,5,strontium,87.62,769,1384,2.54
39,Y,5,yttrium,88.90585,1523,3337,4.47
40,Zr,5,zirconium,91.224,1852,4377,6.51
41,Nb,5,niobium,92.90638,2468,4742,8.57
42,Mo,5,molybdenum,95.94,2617,4612,10.2
43,Tc,5,technetium,98,2172,4877,11.5
44,Ru,5,ruthenium,101.07,2310,3900,12.4
45,Rh,5,rhodium,102.9055,1966,3727,12.4
46,Pd,5,palladium,106.42,1554,3140,12
47,Ag,5,silver,107.8682,962,2212,10.5
48,Cd,5,cadmium,112.411,320.9,765,8.65
49,In,5,indium,114.818,156.6,2080,7.31
50,Sn,5,tin,118.71,232,2270,7.31
51,Sb,5,antimony,121.76,631,1950,6.69
52,Te,5,tellurium,127.6,449.5,989.8,6.24
53,I,5,iodine,126.90447,113.5,184,4.93
